Province,Country,Latitude,Longitude,Date,Confirmed,Deaths,Recovered
,Afghanistan,33,65,28 January 2020,0,0,0
,Albania,41.1533,20.1683,28 January 2020,0,0,0
,Algeria,28.0339,1.6596,28 January 2020,0,0,0
,Andorra,42.5063,1.5218,28 January 2020,0,0,0
,Angola,-11.2027,17.8739,28 January 2020,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,28 January 2020,0,0,0
,Argentina,-38.4161,-63.6167,28 January 2020,0,0,0
,Armenia,40.0691,45.0382,28 January 2020,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,28 January 2020,0,0,0
New South Wales,Australia,-33.8688,151.2093,28 January 2020,4,0,0
Northern Territory,Australia,-12.4634,130.8456,28 January 2020,0,0,0
Queensland,Australia,-28.0167,153.4,28 January 2020,0,0,0
South Australia,Australia,-34.9285,138.6007,28 January 2020,0,0,0
Tasmania,Australia,-41.4545,145.9707,28 January 2020,0,0,0
Victoria,Australia,-37.8136,144.9631,28 January 2020,1,0,0
Western Australia,Australia,-31.9505,115.8605,28 January 2020,0,0,0
,Austria,47.5162,14.5501,28 January 2020,0,0,0
,Azerbaijan,40.1431,47.5769,28 January 2020,0,0,0
,Bahamas,25.0343,-77.3963,28 January 2020,0,0,0
,Bahrain,26.0275,50.55,28 January 2020,0,0,0
,Bangladesh,23.685,90.3563,28 January 2020,0,0,0
,Barbados,13.1939,-59.5432,28 January 2020,0,0,0
,Belarus,53.7098,27.9534,28 January 2020,0,0,0
,Belgium,50.8333,4,28 January 2020,0,0,0
,Benin,9.3077,2.3158,28 January 2020,0,0,0
,Bhutan,27.5142,90.4336,28 January 2020,0,0,0
,Bolivia,-16.2902,-63.5887,28 January 2020,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,28 January 2020,0,0,0
,Brazil,-14.235,-51.9253,28 January 2020,0,0,0
,Brunei,4.5353,114.7277,28 January 2020,0,0,0
,Bulgaria,42.7339,25.4858,28 January 2020,0,0,0
,Burkina Faso,12.2383,-1.5616,28 January 2020,0,0,0
,Cabo Verde,16.5388,-23.0418,28 January 2020,0,0,0
,Cambodia,11.55,104.9167,28 January 2020,1,0,0
,Cameroon,3.848,11.5021,28 January 2020,0,0,0
Alberta,Canada,53.9333,-116.5765,28 January 2020,0,0,0
British Columbia,Canada,49.2827,-123.1207,28 January 2020,1,0,0
Grand Princess,Canada,37.6489,-122.6655,28 January 2020,0,0,0
Manitoba,Canada,53.7609,-98.8139,28 January 2020,0,0,0
New Brunswick,Canada,46.5653,-66.4619,28 January 2020,0,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,28 January 2020,0,0,0
Nova Scotia,Canada,44.682,-63.7443,28 January 2020,0,0,0
Ontario,Canada,51.2538,-85.3232,28 January 2020,1,0,0
Prince Edward Island,Canada,46.5107,-63.4168,28 January 2020,0,0,0
Quebec,Canada,52.9399,-73.5491,28 January 2020,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,28 January 2020,0,0,0
,Central African Republic,6.6111,20.9394,28 January 2020,0,0,0
,Chad,15.4542,18.7322,28 January 2020,0,0,0
,Chile,-35.6751,-71.543,28 January 2020,0,0,0
Anhui,China,31.8257,117.2264,28 January 2020,106,0,0
Beijing,China,40.1824,116.4142,28 January 2020,91,1,4
Chongqing,China,30.0572,107.874,28 January 2020,132,0,0
Fujian,China,26.0789,117.9874,28 January 2020,80,0,0
Gansu,China,37.8099,101.0583,28 January 2020,19,0,0
Guangdong,China,23.3417,113.4244,28 January 2020,207,0,4
Guangxi,China,23.8298,108.7881,28 January 2020,51,0,2
Guizhou,China,26.8154,106.8748,28 January 2020,9,0,0
Hainan,China,19.1959,109.7453,28 January 2020,40,1,0
Hebei,China,39.549,116.1306,28 January 2020,33,1,0
Heilongjiang,China,47.862,127.7615,28 January 2020,33,1,0
Henan,China,33.882,113.614,28 January 2020,168,1,0
Hong Kong,China,22.3,114.2,28 January 2020,8,0,0
Hubei,China,30.9756,112.2707,28 January 2020,3554,125,80
Hunan,China,27.6104,111.7088,28 January 2020,143,0,0
Inner Mongolia,China,44.0935,113.9448,28 January 2020,15,0,0
Jiangsu,China,32.9711,119.455,28 January 2020,70,0,1
Jiangxi,China,27.614,115.7221,28 January 2020,109,0,3
Jilin,China,43.6661,126.1923,28 January 2020,8,0,0
Liaoning,China,41.2956,122.6085,28 January 2020,34,0,0
Macau,China,22.1667,113.55,28 January 2020,7,0,0
Ningxia,China,37.2692,106.1655,28 January 2020,11,0,0
Qinghai,China,35.7452,95.9956,28 January 2020,6,0,0
Shaanxi,China,35.1917,108.8701,28 January 2020,46,0,0
Shandong,China,36.3427,118.1498,28 January 2020,95,0,0
Shanghai,China,31.202,121.4491,28 January 2020,66,1,4
Shanxi,China,37.5777,112.2922,28 January 2020,27,0,0
Sichuan,China,30.6171,102.7103,28 January 2020,90,0,0
Tianjin,China,39.3054,117.323,28 January 2020,24,0,0
Tibet,China,31.6927,88.0924,28 January 2020,0,0,0
Xinjiang,China,41.1129,85.2401,28 January 2020,10,0,0
Yunnan,China,24.974,101.487,28 January 2020,44,0,0
Zhejiang,China,29.1832,120.0934,28 January 2020,173,0,3
,Colombia,4.5709,-74.2973,28 January 2020,0,0,0
,Congo (Brazzaville),-4.0383,21.7587,28 January 2020,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,28 January 2020,0,0,0
,Costa Rica,9.7489,-83.7534,28 January 2020,0,0,0
,Cote d'Ivoire,7.54,-5.5471,28 January 2020,0,0,0
,Croatia,45.1,15.2,28 January 2020,0,0,0
,Diamond Princess,0,0,28 January 2020,0,0,0
,Cuba,22,-80,28 January 2020,0,0,0
,Cyprus,35.1264,33.4299,28 January 2020,0,0,0
,Czechia,49.8175,15.473,28 January 2020,0,0,0
Faroe Islands,Denmark,61.8926,-6.9118,28 January 2020,0,0,0
Greenland,Denmark,71.7069,-42.6043,28 January 2020,0,0,0
,Denmark,56.2639,9.5018,28 January 2020,0,0,0
,Djibouti,11.8251,42.5903,28 January 2020,0,0,0
,Dominican Republic,18.7357,-70.1627,28 January 2020,0,0,0
,Ecuador,-1.8312,-78.1834,28 January 2020,0,0,0
,Egypt,26,30,28 January 2020,0,0,0
,El Salvador,13.7942,-88.8965,28 January 2020,0,0,0
,Equatorial Guinea,1.5,10,28 January 2020,0,0,0
,Eritrea,15.1794,39.7823,28 January 2020,0,0,0
,Estonia,58.5953,25.0136,28 January 2020,0,0,0
,Eswatini,-26.5225,31.4659,28 January 2020,0,0,0
,Ethiopia,9.145,40.4897,28 January 2020,0,0,0
,Fiji,-17.7134,178.065,28 January 2020,0,0,0
,Finland,64,26,28 January 2020,0,0,0
French Guiana,France,3.9339,-53.1258,28 January 2020,0,0,0
French Polynesia,France,-17.6797,149.4068,28 January 2020,0,0,0
Guadeloupe,France,16.25,-61.5833,28 January 2020,0,0,0
Mayotte,France,-12.8275,45.1662,28 January 2020,0,0,0
New Caledonia,France,-20.9043,165.618,28 January 2020,0,0,0
Reunion,France,-21.1351,55.2471,28 January 2020,0,0,0
Saint Barthelemy,France,17.9,-62.8333,28 January 2020,0,0,0
St Martin,France,18.0708,-63.0501,28 January 2020,0,0,0
Martinique,France,14.6415,-61.0242,28 January 2020,0,0,0
,France,46.2276,2.2137,28 January 2020,4,0,0
,Gabon,-0.8037,11.6094,28 January 2020,0,0,0
,Gambia,13.4432,-15.3101,28 January 2020,0,0,0
,Georgia,42.3154,43.3569,28 January 2020,0,0,0
,Germany,51,9,28 January 2020,4,0,0
,Ghana,7.9465,-1.0232,28 January 2020,0,0,0
,Greece,39.0742,21.8243,28 January 2020,0,0,0
,Guatemala,15.7835,-90.2308,28 January 2020,0,0,0
,Guinea,9.9456,-9.6966,28 January 2020,0,0,0
,Guyana,5,-58.75,28 January 2020,0,0,0
,Haiti,18.9712,-72.2852,28 January 2020,0,0,0
,Holy See,41.9029,12.4534,28 January 2020,0,0,0
,Honduras,15.2,-86.2419,28 January 2020,0,0,0
,Hungary,47.1625,19.5033,28 January 2020,0,0,0
,Iceland,64.9631,-19.0208,28 January 2020,0,0,0
,India,21,78,28 January 2020,0,0,0
,Indonesia,-0.7893,113.9213,28 January 2020,0,0,0
,Iran,32,53,28 January 2020,0,0,0
,Iraq,33,44,28 January 2020,0,0,0
,Ireland,53.1424,-7.6921,28 January 2020,0,0,0
,Israel,31,35,28 January 2020,0,0,0
,Italy,43,12,28 January 2020,0,0,0
,Jamaica,18.1096,-77.2975,28 January 2020,0,0,0
,Japan,36,138,28 January 2020,7,0,1
,Jordan,31.24,36.51,28 January 2020,0,0,0
,Kazakhstan,48.0196,66.9237,28 January 2020,0,0,0
,Kenya,-0.0236,37.9062,28 January 2020,0,0,0
,South Korea,36,128,28 January 2020,4,0,0
,Kuwait,29.5,47.75,28 January 2020,0,0,0
,Kyrgyzstan,41.2044,74.7661,28 January 2020,0,0,0
,Latvia,56.8796,24.6032,28 January 2020,0,0,0
,Lebanon,33.8547,35.8623,28 January 2020,0,0,0
